Workload,Total MACs,Active MACs,Idle MACs,Useful MAC Ratio,Gating Ratio,A Sparsity,B Sparsity,Activation-Zero MACs,Weight-Zero MACs,Both-Zero MACs
Dense,4096,4064,32,0.9922,0.0078,0.0039,0.0039,16,16,0
Sparse50,4096,1032,3064,0.2520,0.7480,0.4805,0.5312,888,1096,1080
Sparse70,4096,370,3726,0.0903,0.9097,0.6836,0.7266,750,926,2050
Sparse90,4096,45,4051,0.0110,0.9890,0.8945,0.8828,435,387,3229
Sparse95,4096,5,4091,0.0012,0.9988,0.9531,0.9570,171,187,3733
AlexNet,4096,964,3132,0.2354,0.7646,0.5195,0.5117,1036,1004,1092
VGG16,4096,385,3711,0.0940,0.9060,0.6836,0.7148,783,911,2017
ResNet18,4096,28,4068,0.0068,0.9932,0.8984,0.9141,324,388,3356
MobileNetV2,4096,2,4094,0.0005,0.9995,0.9766,0.9688,126,94,3874
EfficientNet-B0,4096,0,4096,0.0000,1.0000,0.9883,0.9805,80,48,3968
